dataset	fs_method	n_features	MethodGroup	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	IntegrationRank	ClusteringRank	AlignmentRank	CoreOverallRank	effective_n_features
DLPFC	morans_i	2000	spatially_informed	cellcharter	0.5459196402667331	0.004153315685326	3	0.9744285784086872	0.0048433846018149	3	0.7601741093377101	0.0044055439995765	3	0.698563637265868	0.018445898350512	3	0.7285136362404397	0.0865260480773875	3	0.7135386367531537	0.0521118466536852	3	0.9193199181987696	0.0038586638767707	3	0.736856373045432	0.0278114931303694	3	0.7976775547632111	0.0196473231929303	3	10.0	11.0	14.0	11.0	2000.0
DLPFC	morans_i	2000	spatially_informed	scvi	0.698759013827436	0.1603826061181242	3	0.6502586101598645	0.1653863105950298	3	0.6745088119936503	0.1628823486133435	3	0.4858102878524516	0.0239748011279052	3	0.6448747745035474	0.2048420183870066	3	0.5653425311779995	0.1143824113941414	3	0.7576587837341928	0.1038295273145947	3	0.6199256715858249	0.1386309346857072	3	0.6658367089686142	0.1270287443994633	3	28.0	20.0	21.0	24.0	2000.0
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	cellcharter	0.606414394836013	0.0087855275702312	3	0.9521007646028914	0.006460790175155	3	0.7792575797194522	0.0028708695647823	3	0.6879204435177982	0.0031119732022206	3	0.7983224042778471	0.0471955691294068	3	0.7431214238978227	0.0243723363378939	3	0.93478754157188	0.0046748373434986	3	0.7611895018086375	0.0136131683917708	3	0.8190555150630517	0.0099899154877433	3	1.0	7.0	7.0	3.0	2000.0
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	scvi	0.8634130477080775	0.0157919665037641	3	0.7047140051264827	0.0101122667289996	3	0.78406352641728	0.0040307467620869	3	0.4821780621165251	0.0136853473058775	3	0.7161782246930195	0.0185298897502252	3	0.5991781434047724	0.0069568618427135	3	0.7751378352839663	0.00845769423195	3	0.6916208349110261	0.0024465452452372	3	0.7194598350353395	0.0036260950340622	3	6.0	10.0	16.0	7.0	2000.0
DLPFC	seurat_vst	2000	expression_driven	cellcharter	0.5828731515435467	0.0029327576537285	3	0.9467807760819557	0.0397842154571845	3	0.7648269638127512	0.0187310873862105	3	0.7042154097447302	0.0037014188143069	3	0.8467174707592529	0.0745978401651582	3	0.7754664402519914	0.0387692304640151	3	0.9458187240680724	0.0058924172837353	3	0.7701467020323713	0.022564678311655	3	0.8287040427109383	0.0140180495564747	3	5.0	2.0	2.0	2.0	2000.0
DLPFC	seurat_vst	2000	expression_driven	scvi	0.7661204375183779	0.0150372155838518	3	0.7518347394273638	0.0048827848184489	3	0.7589775884728708	0.0095540916825668	3	0.5139897448940868	0.0136050881456444	3	0.7056250454111043	0.0307701283783705	3	0.6098073951525956	0.0218042125600564	3	0.8191492166409177	0.0086462181940774	3	0.6843924918127332	0.0156206277775463	3	0.7293114000887947	0.0130461717059244	3	18.0	7.0	6.0	11.0	2000.0
DLPFC	somde	2000	spatially_informed	cellcharter	0.5439941190897932	0.0034461084822247	3	0.9652192934312648	0.0078026413885991	3	0.754606706260529	0.0039298341978195	3	0.7224260308599648	0.0020227031293676	3	0.7699437684146598	0.0283581596054343	3	0.7461848996373123	0.0149564339757166	3	0.9238433809334358	0.0053663297138005	3	0.7503958029489205	0.0093392798247942	3	0.8082116622770923	0.0070722093925305	3	13.0	4.0	12.0	7.0	2000.0
DLPFC	somde	2000	spatially_informed	scvi	0.8342282211040262	0.0101768488688131	3	0.7579129205163214	0.0059877368160332	3	0.796070570810174	0.0065561504427086	3	0.5171516258957655	0.005775032966661	3	0.7330373512235092	0.0400726196013274	3	0.6250944885596373	0.0189409689346567	3	0.8225363507821158	0.0065579868210776	3	0.7105825296849057	0.0111736084342098	3	0.7479004700506424	0.0094628905076434	3	2.0	3.0	4.0	1.0	2000.0
DLPFC	triku	2000	expression_driven	cellcharter	0.5897852044979622	0.0033741627237277	3	0.9520175068619284	0.0138335599452408	3	0.7709013556799454	0.0084101233253814	3	0.7056880495229301	0.0013553485692647	3	0.7849281925173986	0.0848735229223545	3	0.7453081210201643	0.0421950873933301	3	0.941790012942891	0.0012911071371982	3	0.7581047383500549	0.0234788368063687	3	0.8193331632143335	0.0153103666509043	3	4.0	5.0	3.0	5.0	2000.0
DLPFC	triku	2000	expression_driven	scvi	0.7908414386529913	0.0331866146096802	3	0.7540314167462996	0.0207532664711817	3	0.7724364276996454	0.0114716201711111	3	0.5150718930333297	0.0110957257256285	3	0.6938776834512473	0.0590193944634482	3	0.6044747882422885	0.034781112730329	3	0.8231238727920963	0.0069029882699551	3	0.688455607970967	0.0131483237856417	3	0.7333450295780101	0.0092452313179716	3	7.0	9.0	3.0	10.0	2000.0
