fs_method	integration_method	MethodGroup	MeanIntegrationScore	SDIntegrationScore	MeanIntegrationRank	SDIntegrationRank	NIntegrationDatasets	MeanClusteringScore	SDClusteringScore	MeanClusteringRank	SDClusteringRank	NClusteringDatasets	MeanAlignmentScore	SDAlignmentScore	MeanAlignmentRank	SDAlignmentRank	NAlignmentDatasets	MeanCoreOverallScore	SDCoreOverallScore	MeanCoreOverallRank	SDCoreOverallRank	NCoreOverallDatasets	MeanAlignmentEligibleOverallScore	SDAlignmentEligibleOverallScore	MeanAlignmentEligibleOverallRank	SDAlignmentEligibleOverallRank	NAlignmentEligibleOverallDatasets	GlobalCoreOverallRank
seurat_vst	cellcharter	expression_driven	0.6013367648781255	0.15470423682477707	14.714285714285714	11.32422603263001	7	0.7559399299893491	0.05302856329711256	8.714285714285714	9.827076298239907	7	0.9513612720531691	0.007838346530627238	14.0	16.97056274847714	2	0.6786383474337373	0.08062017293274937	6.714285714285714	5.122313465427046	7	0.8287706153218843	9.414788928242497e-05	5.0	4.242640687119285	2	1.0
scanpy_seurat_v3	cellcharter	expression_driven	0.600406504590027	0.1536844438402747	14.857142857142858	10.869354035215576	7	0.7615193201193083	0.04911689042852387	8.857142857142858	9.564318610135825	7	0.9506678635073391	0.004419355593937341	14.5	19.091883092036785	2	0.6809629123546675	0.07820452490104102	6.857142857142857	5.1777914026661795	7	0.82946369589773	0.0024053321397622886	6.0	7.0710678118654755	2	2.0
scanpy_seurat_v3_batch	cellcharter	expression_driven	0.6087925231806751	0.14574725445871697	13.714285714285714	8.635475005547093	7	0.7502799760022673	0.03416118751854383	7.571428571428571	8.423323628614833	7	0.9466076238304132	0.01671612063838334	13.5	10.606601717798213	2	0.6795362495914713	0.0772047957502	7.142857142857143	4.775931721614517	7	0.8239698510651041	0.006949920624160846	6.0	1.4142135623730951	2	3.0
scanpy_cell_ranger_batch	cellcharter	expression_driven	0.6292946873846165	0.12598108252109458	8.0	6.506407098647712	7	0.7202499920272688	0.050194384725476916	17.285714285714285	12.188988004400882	7	0.9000485386351276	0.08150047633578522	26.5	3.5355339059327378	2	0.6747723397059426	0.062449205873037275	8.0	7.724420150837645	7	0.7870922763716897	0.06000471660451837	16.0	15.556349186104045	2	4.0
nbumi	cellcharter	expression_driven	0.6137016412882854	0.13434222481558084	14.142857142857142	9.839183086492689	7	0.7367663483850523	0.043421892556515386	8.571428571428571	5.028490259085155	7	0.9506225487582396	0.017774329418702155	8.0	5.656854249492381	2	0.6752339948366688	0.08127007377091824	9.142857142857142	5.047394424471945	7	0.8237641017613702	0.005892874869924228	6.5	4.949747468305833	2	5.0
triku	cellcharter	expression_driven	0.6040073951315073	0.1502942027375434	14.714285714285714	11.45591965920219	7	0.733750492508813	0.03214169132071357	10.142857142857142	6.309478885734051	7	0.9499952738171185	0.011603991211141793	12.5	13.435028842544403	2	0.6688789438201601	0.08836536058907814	11.571428571428571	10.162957949618521	7	0.824574237017442	0.007411997653754469	4.0	0.0	2	6.0
singleCellHaystack	cellcharter	expression_driven	0.61433202270788	0.13168873145150667	12.428571428571429	7.114706432386907	7	0.7139184862728822	0.06662000613991242	12.142857142857142	8.39500985563391	7	0.9470610668861366	0.015424693285602201	14.0	12.727922061357855	2	0.6641252544903812	0.08587086485270191	12.142857142857142	6.09449400220044	7	0.81531963854914	0.013490028879802643	14.0	8.48528137423857	2	7.0
osca	cellcharter	expression_driven	0.6109154661462242	0.1250657021717378	15.142857142857142	6.644009116704849	7	0.7102968020279989	0.06623803209794563	10.714285714285714	7.01698619338069	7	0.9354411831361135	0.04151596654228778	15.0	5.656854249492381	2	0.6606061340871116	0.08814104211885522	12.714285714285714	7.016986193380691	7	0.8066807593866476	0.031620862288018324	10.0	5.656854249492381	2	8.0
seurat_mvp	cellcharter	expression_driven	0.628779212833775	0.1256732327208713	12.571428571428571	8.997354108424373	7	0.6983638159312563	0.07313874081894589	15.142857142857142	8.914941978285135	7	0.91175850512599	0.06454484803925124	25.0	0.0	2	0.6635715143825155	0.07569278429845201	12.857142857142858	7.335497516155521	7	0.7899301725261294	0.04881751994551978	22.5	0.7071067811865476	2	9.0
scanpy_cell_ranger	cellcharter	expression_driven	0.6125557241928884	0.14115485133786396	12.428571428571429	8.423323628614833	7	0.7192299330656879	0.06006368427687767	14.428571428571429	11.688415102957613	7	0.8997963496019514	0.07966847350227477	27.5	0.7071067811865476	2	0.6658928286292882	0.07399816041674079	13.0	11.647603473104098	7	0.7773583911600654	0.07087452140071983	20.5	12.020815280171307	2	10.0
